service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4_merged_704231077,20181222,20190510,0,0,0,0,0,0,0
3_merged_704231079,20190511,20190830,0,0,0,0,0,0,1
603,20181222,20190510,0,0,0,0,0,0,0
1_merged_704231074,20181222,20190510,1,1,1,1,1,0,0
3_merged_704231075,20181222,20190510,0,0,0,0,0,0,1
4001,20181222,20190510,0,0,0,0,0,0,0
4002,20181222,20190510,0,0,0,0,0,0,0
1_merged_704231078,20190511,20190830,1,1,1,1,1,0,0
3401,20181222,20190510,0,0,0,0,0,0,0
4_merged_704231081,20190511,20190830,0,0,0,0,0,0,0
2_merged_704231080,20190511,20190830,0,0,0,0,0,1,0
8,20181222,20190510,0,0,0,0,0,0,0
2_merged_704231076,20181222,20190510,0,0,0,0,0,1,0
