block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_39471,3235,1,,11520,1_merged_704231078,420628
b_39472,3235,1,,11520,1_merged_704231078,420629
b_39460,3231,1,,11509,1_merged_704231078,420338
b_39463,3231,1,,11509,1_merged_704231078,420339
b_39476,3235,1,,11520,1_merged_704231078,420620
b_39460,3231,1,,11509,1_merged_704231078,420333
b_39459,3231,1,,11509,1_merged_704231078,420330
b_39473,3235,1,,11519,1_merged_704231078,420623
b_39474,3235,1,,11520,1_merged_704231078,420624
b_39462,3231,1,,11509,1_merged_704231078,420337
b_39463,3231,1,,11509,1_merged_704231078,420334
b_39459,3231,1,,11509,1_merged_704231078,420335
a_38896,3236,0,,11375,2_merged_704231076,413697
a_38895,3236,0,,11375,2_merged_704231076,413696
a_38894,3236,0,,11375,2_merged_704231076,413695
a_38898,3236,0,,11375,2_merged_704231076,413699
a_38897,3236,0,,11375,2_merged_704231076,413698
b_39580,3257,1,,11620,1_merged_704231078,422662
b_39574,3257,1,,11620,1_merged_704231078,422663
b_39579,3257,1,,11620,1_merged_704231078,422660
b_39432,3257,1,,11620,1_merged_704231078,422661
b_39575,3257,1,,11620,1_merged_704231078,422666
b_39577,3257,1,,11620,1_merged_704231078,422667
b_39569,3257,1,,11620,1_merged_704231078,422664
b_39576,3257,1,,11620,1_merged_704231078,422665
b_39571,3257,1,,11620,1_merged_704231078,422668
b_39578,3257,1,,11620,1_merged_704231078,422669
a_39405,3259,0,,11477,8,419567
a_39407,3259,0,,11477,8,419566
a_39406,3259,0,,11477,8,419565
a_39405,3259,0,,11477,8,419564
a_39401,3260,1,,11480,8,419563
a_39404,3260,1,,11480,8,419562
a_39402,3260,1,,11480,8,419561
a_39403,3260,1,,11480,8,419560
a_39408,3259,0,,11477,8,419569
a_39406,3259,0,,11477,8,419568
a_39423,3250,1,,11455,8,419691
a_39422,3250,1,,11455,8,419690
a_39421,3250,1,,11455,8,419693
b_39689,3253,0,,11611,2_merged_704231080,422085
b_39690,3253,0,,11611,2_merged_704231080,422082
a_39422,3250,1,,11455,8,419694
a_39421,3250,1,,11455,8,419697
a_39376,3250,1,,11455,8,419696
a_39423,3250,1,,11455,8,419699
a_39422,3250,1,,11455,8,419698
b_39690,3253,1,,11612,2_merged_704231080,422088
b_39689,3253,1,,11612,2_merged_704231080,422089
b_39686,3252,0,,11608,1_merged_704231078,422015
b_39562,3240,1,,11544,3_merged_704231079,421218
b_39565,3240,1,,11544,3_merged_704231079,421219
b_39560,3240,1,,11544,3_merged_704231079,421216
b_39561,3240,1,,11544,3_merged_704231079,421217
b_39564,3240,1,,11544,3_merged_704231079,421214
b_39559,3240,1,,11544,3_merged_704231079,421215
b_39562,3240,1,,11544,3_merged_704231079,421212
b_39563,3240,1,,11544,3_merged_704231079,421213
b_39560,3240,1,,11544,3_merged_704231079,421210
b_39561,3240,1,,11544,3_merged_704231079,421211
b_39686,3252,0,,11608,1_merged_704231078,422016
b_39686,3252,0,,11608,1_merged_704231078,422011
b_39686,3252,0,,11608,1_merged_704231078,422010
b_39566,3257,1,,11620,3_merged_704231079,422541
b_39732,3260,1,,11626,2_merged_704231080,423138
b_39559,3257,1,,11620,3_merged_704231079,422540
a_39121,3259,0,,11477,2_merged_704231076,416166
a_39118,3259,0,,11477,2_merged_704231076,416167
a_39119,3259,0,,11477,2_merged_704231076,416164
a_39117,3259,0,,11477,2_merged_704231076,416165
a_39118,3259,0,,11477,2_merged_704231076,416162
a_39120,3259,0,,11477,2_merged_704231076,416163
a_39117,3259,0,,11477,2_merged_704231076,416160
a_39121,3259,0,,11477,2_merged_704231076,416161
a_39120,3259,0,,11477,2_merged_704231076,416168
a_39119,3259,1,,11478,2_merged_704231076,416169
a_38982,3257,0,,11473,3_merged_704231075,417341
a_38977,3257,0,,11473,3_merged_704231075,417340
a_38983,3257,0,,11473,3_merged_704231075,417343
a_38978,3257,0,,11473,3_merged_704231075,417342
a_38984,3257,0,,11473,3_merged_704231075,417345
a_38979,3257,0,,11473,3_merged_704231075,417344
a_38975,3257,0,,11473,3_merged_704231075,417347
a_39186,3257,0,,11473,3_merged_704231075,417346
a_38980,3257,0,,11473,3_merged_704231075,417349
a_38976,3257,0,,11473,3_merged_704231075,417348
b_39462,3231,1,,11509,1_merged_704231078,420332
b_39477,3235,1,,11520,1_merged_704231078,420621
b_39478,3235,1,,11520,1_merged_704231078,420622
b_39461,3231,1,,11509,1_merged_704231078,420331
b_39461,3231,1,,11509,1_merged_704231078,420336
b_39471,3235,1,,11520,1_merged_704231078,420625
b_39472,3235,1,,11520,1_merged_704231078,420626
b_39474,3235,1,,11519,1_merged_704231078,420627
a_38990,3240,1,,11397,1_merged_704231074,414450
a_38991,3240,1,,11397,1_merged_704231074,414451
a_38992,3240,1,,11397,1_merged_704231074,414452
a_38817,3240,1,,11397,1_merged_704231074,414453
a_38993,3240,1,,11397,1_merged_704231074,414454
a_38988,3240,1,,11397,1_merged_704231074,414455
